commodity,n_months,mean_index,std_index,mean_mom_change,std_mom_change,median_usdprice,cv_index
Pasta,123,120.1117645116191,281.8161509911972,6.806030097187326,213.91488334479698,0.89,2.3462826654580993
Tomat,123,185.7093072152518,431.66342016503745,10.790889942519257,141.06123469071497,0.77,2.324403804192244
Beras kualitas baik,106,528.0662282219914,1210.9401860782841,56.617070978862614,583.7898978509833,1.35,2.2931596859650383
Singkong segar,123,274.2016648401845,578.5634868075148,54.720071475157816,496.58023596722626,0.6,2.1099926112583027
Telur,123,216.99024430152406,449.73321795700656,15.376521828271581,239.94765872675632,0.885,2.072596486559409
Beras kualitas tinggi,123,815.2880788755947,1673.7874431827354,36.066418145376126,408.8880682145183,0.965,2.0530012477198745
Tepung jagung putih giling,103,885.4929732103645,1734.2203252049949,22.189144078139496,254.38018891380972,0.345,1.9584800531138717
Kedelai,122,181.71658389363364,342.29722451998015,16.188201174659795,112.51241028069514,0.85,1.8836873178308322
Kacang polong kuning belah,116,289.00201530887733,538.4513386199385,7.937658688842062,86.502626560571,1.6400000000000001,1.8631404284307729
Jawawut,123,141.6281345394832,242.84629594207675,43.66867841980671,398.64276500501853,0.7,1.7146755249704704
Beras lokal,123,105.39275369856284,176.0491556228355,25.327602316702716,331.61025629203897,0.81,1.6704104356771936
Pisang tanduk,121,124.65495817475512,189.79707191397864,24.08037064931278,251.06739950637493,0.66,1.5225794039247127
Minyak bunga matahari,121,184.00804265433584,268.4358462958405,10.411982248140523,182.07678901532455,2.03,1.4588267035702598
Sorgum putih impor,121,337.9969339649826,482.5715226416661,48.50860878601631,240.20470911355685,3.4050000000000002,1.4277393495281288
Daging unta,114,1311.9380582417625,1835.0400997653496,11.015956590253149,71.60213578903503,7.4,1.3987246488028862
Minyak sayur impor,121,143.19012389679173,200.20022810514152,4.554248310024985,75.11275165219669,2.64,1.3981427116400946
Tepung terigu lokal,121,126.05930903464117,174.08254395452462,3.614645864892941,70.12037931866391,1.34,1.3809574658757382
Beras impor,123,110.7698191167143,150.82332384290703,12.238447003362868,171.61179482401195,0.88,1.3615922193028929
Kacang tanah (kulit),120,141.62672234646584,182.44187376312146,10.371703929415686,166.92777375885765,0.84,1.2881882086970018
Gula putih,121,184.81335583202414,237.52214245868802,2.6368877679934424,31.790568809755964,3.065,1.2852000949247986
Ikan tilapia,121,119.48695348639966,151.12513839133464,25.56341889359682,334.55190856546477,2.73,1.264783593369766
Selada,118,116.26747492221531,147.0103250147646,12.373344273691945,105.02443684134242,0.8,1.2644148771022738
Beras biasa kualitas kedua,120,100.79426168477275,126.32792272622609,135.96430389436756,948.6846932867385,31.6425,1.2533245505712234
Beras putih impor,107,47.60810993779885,54.24560185356687,-0.02312458675379905,12.67644753595034,0.755,1.1394193536445798
Kentang,123,134.70738669328676,148.30552389148838,11.539292653345731,250.68333239594443,0.565,1.1009457427094402
Roti pita,109,149.23767798466594,156.07011969054307,1.1860875356389096,11.795316052397613,0.45,1.0457822836574766
Sorgum merah,121,164.11134363402275,168.7081131356681,34.51606246995488,433.2830571079957,1.0750000000000002,1.0280100656045836
Minyak,122,176.28350077223703,178.2722519709569,3.0739463380818646,31.072800227191472,2.01,1.0112815504003938
Daging sapi kalengan,109,174.5299062795045,169.0906821930953,1.3538361501626508,11.340122015581585,1.1749999999999998,0.9688350025370526
Terong,110,128.79279140719552,121.65963778040643,12.81116160611005,194.55880278594535,0.75,0.9446152727272081
Semangka,122,66.65564796388367,62.65027995697787,4.696698744593834,53.05139640744086,0.66,0.9399095481139716
Tomat kering,114,309.3125651265186,267.62269030581007,5.399573081045667,24.463667315927665,2.31,0.8652176486795612
Sorgum lokal,104,146.1243813677534,125.79359901516574,5.82131550779418,70.58090397696103,29.645,0.8608665976048113
Talas macabo,121,89.04063543561976,76.22007427854385,21.194128754808062,136.22051510129026,5.64,0.8560144916492006
Kacang putih,123,123.24274041212932,104.59321302442794,21.782716040349953,320.31687739452497,1.96,0.8486764630083969
Kacang arab,123,114.10895749590856,96.41432670781312,4.173128092070433,74.97289774482086,1.9049999999999998,0.844932149268563
Daging sapi,123,117.9623644917807,99.30346337056208,1.4896578685841815,27.166714627418525,4.8100000000000005,0.841823269636828
Minyak sayur,123,132.71780337186425,109.81862670477582,2.161921380175453,23.745072308375875,1.9024999999999999,0.82745964681975
Susu bubuk,123,125.37541125030418,101.58856465680785,1.6777047604387725,26.91500571897819,5.07,0.8102750263685486
Mentimun,120,89.2784070004707,69.14432001667113,8.560807432275594,74.66415952694254,0.925,0.7744797688460838
Kacang tanah (kupas),123,124.56807129410038,96.08301771725202,53.78766303628249,546.6844248654317,1.33,0.7713294162707532
Wijen,119,127.72166479131951,97.16807822280073,11.465930339361318,99.14979867277643,1.505,0.7607799223535072
Kol,122,120.49549167424863,90.17251523927939,5.1276634397006235,48.115421691762414,0.52,0.7483476268394726
Tuna kalengan,122,115.97027041139351,84.47267678230129,4.324444115313634,44.827646616697834,1.67,0.728399412044505
Singkong kering,121,137.96092495612652,97.99129489838948,8.415943461416662,71.54260556509378,0.3975,0.7102829654813642
Beras Carolina kualitas 2,107,150.3770178419711,101.98555140430838,24.17881350287753,89.02862271611997,0.88,0.6781990550675997
Mentimun rumah kaca,121,93.42563884552665,62.169297330358724,6.474759877560125,43.26642494057387,1.0025,0.6654415008405958
Kacang mete,99,102.63942250778084,66.3710796135125,7.038711569117149,44.94300687069753,3.5199999999999996,0.6466431512558548
Ikan kering,123,147.61661290527036,94.43085641648682,3.2249389953544534,26.943172733007536,3.635,0.6397034490764647
Roti bakery,119,55.31008309756652,34.451177252304646,3.6442935782954122,31.4404444792168,0.082,0.6228733591221163
Ikan,123,82.02029772443271,50.90649672451151,2.5710620752269606,23.404316024807795,3.02,0.6206573023612322
Domba jantan umur dua tahun,120,150.51764835433084,92.34832568691276,2.0632615629707534,17.670492756932685,251.85250000000002,0.6135381910134369
Singkong,123,125.20611289785744,76.10572670253683,17.62058890622649,207.39459315466615,0.54,0.6078435384750226
Apel,122,143.6642041712743,85.9282827786906,2.46124601207199,23.080632500290406,0.94,0.5981189487970726
Beras butir sedang impor,116,149.14407774901736,87.84778145242694,1.2064110332864553,8.261059933694966,0.6275,0.5890128711664901
Mi pendek,120,119.11922081626831,70.04037760480627,2.2958726809010597,22.507827097576463,1.3,0.5879855251306407
Beras putih,121,96.25259032775179,55.317423899155806,785.04606365085,5790.909890159357,1.22,0.5747110151611842
Teh,123,110.54027806402704,62.657621386798354,1.6991581077934341,26.872542278486492,4.39,0.5668306836581853
Pisang,123,118.12190440697344,65.97994077240784,5.5055160768933105,55.779396972221555,0.81,0.5585749832231172
Daging ayam,123,103.72650028740534,57.034955074822236,6.014379977931781,82.59446051551105,3.12,0.549859051609664
Kacang cranberry,104,129.8175143679185,70.72877359582651,804.3980640387558,2302.4660575267912,2.8925,0.544832289696848
Kacang tunggak,123,157.88716096030356,85.11771880858178,4.105341253190779,31.363983325675417,1.29,0.5391047523489406
Mangga,120,120.4720169334767,64.56667408565598,6.428839057716455,38.23119435060861,0.87,0.5359474816571633
Daging kambing,123,130.74235987962064,67.58419028949426,1.3626278664449258,14.221355385101642,4.825,0.5169264984334193
Peterseli,122,92.55143051987616,47.31464318231502,2.827479962873173,25.661062663339486,0.135,0.5112254118228223
Kentang imilla,121,172.01276585609833,87.80537957343759,29.009485257611303,97.00081081231221,4.52,0.5104585065906877
Sorgum (bantuan pangan),118,159.07165973297523,80.01595005239962,5.688122465767088,30.95643971144671,2.47,0.5030182635091502
Ikan makarel segar,121,103.31825265187777,51.42165565960004,18.30225660857889,195.4165771460605,2.67,0.4977015613384502
Ikan bonga,119,151.92443366832993,74.87958719013787,3.9531166771333295,31.09988606061218,1.49,0.49287389383072766
Pasta tomat,122,115.61449939817406,56.73194181198426,5.238604013689225,67.57930554028916,1.4449999999999998,0.4906991952332948
Teh hitam,121,94.33964813364219,45.99049444793304,0.6885855558679475,11.397500984425397,3.005,0.48749910941773483
Bawang bombay,120,97.86426661036613,47.555164346218746,5.922305941670187,45.641111855091296,1.2325,0.4859298086353976
Sorgum putih,121,110.87120962814912,52.83057041089249,131.36881083200893,900.3450888513852,24.89,0.4765039597572797
Kembang kol,115,111.28369342625571,52.45722411248803,6.347787068355028,51.24877163742154,0.9950000000000001,0.47138284592656715
Keju picon,119,121.3280625320437,56.89922184348262,2.088575588413147,27.549772815104806,1.165,0.46897000294927715
Teh hijau,121,113.46683112648984,52.56565696140794,0.3306451954193898,11.152076376134122,2.645,0.4632689257251675
Ikan lates kering lokal,113,127.75736812150566,59.015867671388136,6.306750391502727,44.718838250466376,14.65,0.4619370963814796
Bayam,123,122.96644402574161,56.71568197631241,7.73919312456559,48.515196682968586,0.57,0.4612289346550481
Ubi jalar,123,132.58652810509358,60.18188662461989,2.8822953063220185,22.889484119489442,0.47,0.4539064977771892
Bulgur,123,108.46554981555842,48.62169544940281,0.7466096064909449,10.907243185034721,1.03,0.4482685565332234
Tepung singkong,122,104.15164277501201,46.44185004880366,1.8302087429139224,20.11364535584595,0.53,0.44590607321602377
Bawang putih,121,100.28461260706175,43.342159125204425,4.439292871494989,47.95707722021546,2.62,0.4321915197003254
Roti toko,102,121.89988740594276,52.16185573105793,2.4703395481894224,20.88942480730206,0.7925,0.4279073331491443
Tomat rumah kaca,114,134.07406295136354,56.06637077051889,5.063647594242913,33.01295326813333,0.91,0.41817462331142613
